gene_id	gene_biotype
ENSSSCG00000000883	protein_coding
ENSSSCG00000000884	protein_coding
ENSSSCG00000000886	protein_coding
ENSSSCG00000000887	protein_coding
ENSSSCG00000000890	protein_coding
ENSSSCG00000000891	protein_coding
ENSSSCG00000000892	protein_coding
ENSSSCG00000000893	protein_coding
ENSSSCG00000000894	protein_coding
ENSSSCG00000000895	protein_coding
ENSSSCG00000000896	protein_coding
ENSSSCG00000000900	protein_coding
ENSSSCG00000000901	protein_coding
ENSSSCG00000000902	protein_coding
ENSSSCG00000000905	protein_coding
ENSSSCG00000000906	protein_coding
ENSSSCG00000000907	protein_coding
ENSSSCG00000000908	protein_coding
ENSSSCG00000000910	protein_coding
ENSSSCG00000000915	protein_coding
ENSSSCG00000000916	protein_coding
ENSSSCG00000000917	protein_coding
ENSSSCG00000000918	protein_coding
ENSSSCG00000000920	protein_coding
ENSSSCG00000000924	protein_coding
ENSSSCG00000000925	protein_coding
ENSSSCG00000000926	protein_coding
ENSSSCG00000000927	protein_coding
ENSSSCG00000000932	protein_coding
ENSSSCG00000000934	protein_coding
ENSSSCG00000000936	protein_coding
ENSSSCG00000000937	protein_coding
ENSSSCG00000000939	protein_coding
ENSSSCG00000000940	protein_coding
ENSSSCG00000000941	protein_coding
ENSSSCG00000000943	protein_coding
ENSSSCG00000000948	protein_coding
ENSSSCG00000000950	protein_coding
ENSSSCG00000000951	protein_coding
ENSSSCG00000000952	protein_coding
ENSSSCG00000000955	protein_coding
ENSSSCG00000000958	protein_coding
ENSSSCG00000000959	protein_coding
ENSSSCG00000000960	protein_coding
ENSSSCG00000000963	protein_coding
ENSSSCG00000000964	protein_coding
ENSSSCG00000000965	protein_coding
ENSSSCG00000000967	protein_coding
ENSSSCG00000000968	protein_coding
ENSSSCG00000000970	protein_coding
ENSSSCG00000000971	protein_coding
ENSSSCG00000000972	protein_coding
ENSSSCG00000000973	protein_coding
ENSSSCG00000000974	protein_coding
ENSSSCG00000000975	protein_coding
ENSSSCG00000000978	protein_coding
ENSSSCG00000000980	protein_coding
ENSSSCG00000000981	protein_coding
ENSSSCG00000000982	protein_coding
ENSSSCG00000000983	protein_coding
ENSSSCG00000000985	protein_coding
ENSSSCG00000000991	protein_coding
ENSSSCG00000000994	protein_coding
ENSSSCG00000000997	protein_coding
ENSSSCG00000000998	protein_coding
ENSSSCG00000000999	protein_coding
ENSSSCG00000001000	protein_coding
ENSSSCG00000001001	protein_coding
ENSSSCG00000001002	protein_coding
ENSSSCG00000001004	protein_coding
ENSSSCG00000001005	protein_coding
ENSSSCG00000001008	protein_coding
ENSSSCG00000001009	protein_coding
ENSSSCG00000001010	protein_coding
ENSSSCG00000001011	protein_coding
ENSSSCG00000001021	protein_coding
ENSSSCG00000001022	protein_coding
ENSSSCG00000001024	protein_coding
ENSSSCG00000001025	protein_coding
ENSSSCG00000001027	protein_coding
ENSSSCG00000001033	protein_coding
ENSSSCG00000001036	protein_coding
ENSSSCG00000001038	protein_coding
ENSSSCG00000001040	protein_coding
ENSSSCG00000001041	protein_coding
ENSSSCG00000001042	protein_coding
ENSSSCG00000001045	protein_coding
ENSSSCG00000001048	protein_coding
ENSSSCG00000001049	protein_coding
ENSSSCG00000001052	protein_coding
ENSSSCG00000001053	protein_coding
ENSSSCG00000001056	protein_coding
ENSSSCG00000001057	protein_coding
ENSSSCG00000001060	protein_coding
ENSSSCG00000001061	protein_coding
ENSSSCG00000001062	protein_coding
ENSSSCG00000001063	protein_coding
ENSSSCG00000001064	protein_coding
ENSSSCG00000001065	protein_coding
ENSSSCG00000001067	protein_coding
ENSSSCG00000001068	protein_coding
ENSSSCG00000001070	protein_coding
ENSSSCG00000001072	pseudogene
ENSSSCG00000001073	protein_coding
ENSSSCG00000001074	protein_coding
ENSSSCG00000001075	protein_coding
ENSSSCG00000001076	protein_coding
ENSSSCG00000001078	protein_coding
ENSSSCG00000001080	protein_coding
ENSSSCG00000001083	protein_coding
ENSSSCG00000001085	protein_coding
ENSSSCG00000001087	protein_coding
ENSSSCG00000001088	protein_coding
ENSSSCG00000001089	protein_coding
ENSSSCG00000001090	protein_coding
ENSSSCG00000001091	protein_coding
ENSSSCG00000001092	protein_coding
ENSSSCG00000001095	protein_coding
ENSSSCG00000001096	protein_coding
ENSSSCG00000001097	protein_coding
ENSSSCG00000001098	pseudogene
ENSSSCG00000001099	protein_coding
ENSSSCG00000001100	protein_coding
ENSSSCG00000001101	protein_coding
ENSSSCG00000001105	protein_coding
ENSSSCG00000001107	protein_coding
ENSSSCG00000001131	protein_coding
ENSSSCG00000001132	protein_coding
ENSSSCG00000001137	protein_coding
ENSSSCG00000001156	protein_coding
ENSSSCG00000001164	protein_coding
ENSSSCG00000001197	protein_coding
ENSSSCG00000001201	protein_coding
ENSSSCG00000001202	protein_coding
ENSSSCG00000001203	protein_coding
ENSSSCG00000001204	protein_coding
ENSSSCG00000001205	protein_coding
ENSSSCG00000001206	protein_coding
ENSSSCG00000001207	protein_coding
ENSSSCG00000001209	protein_coding
ENSSSCG00000001211	protein_coding
ENSSSCG00000001213	protein_coding
ENSSSCG00000001214	protein_coding
ENSSSCG00000001216	protein_coding
